City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,tiksi,71.6872,128.8694,-26.46,98,100,2.84,RU,1678199319
242,srednekolymsk,67.45,153.6833,-36.73,100,76,2.24,RU,1678199320
243,bagdarin,54.4333,113.6,-15.69,91,64,1.03,RU,1678199321
244,comodoro rivadavia,-45.8667,-67.5,16.92,29,0,7.2,AR,1678199056
245,vagur,61.4732,-6.8119,0.66,54,100,11.65,FO,1678199324
246,kitami,43.8031,143.8908,0.62,90,27,1.31,JP,1678199325
247,minamiashigara,35.3193,139.099,13.53,53,0,1.95,JP,1678199326
248,simoes,-7.5989,-40.8178,34.06,31,3,4.51,BR,1678199327
249,lima,-12.0432,-77.0282,25.14,69,0,2.06,PE,1678198867
250,ancud,-41.8697,-73.8203,13.65,71,0,1.59,CL,1678199329
251,byron bay,-28.65,153.6167,24.41,85,91,7.54,AU,1678199330
252,klaksvik,62.2266,-6.589,-2.49,54,100,11.85,FO,1678199332
253,ostersund,63.1792,14.6357,-4.1,54,75,4.12,SE,1678199333
254,sorland,67.667,12.6934,-3.08,59,40,7.2,NO,1678199334
255,teguise,29.0605,-13.564,18.12,73,20,2.57,ES,1678199224
256,beterou,9.1992,2.2586,41.28,21,52,0.88,BJ,1678199336
257,morozovsk,48.3539,41.8261,5.48,53,100,5.45,RU,1678199337
258,azul,-36.777,-59.8585,23.28,53,100,3.04,AR,1678199339
259,talnakh,69.4865,88.3972,-26.0,91,90,0.36,RU,1678199264
260,codrington,-38.2667,141.9667,12.4,78,100,8.15,AU,1678199341
261,san jeronimo,-11.9472,-75.2829,13.09,66,86,0.95,PE,1678199342
262,plettenberg bay,-34.0527,23.3716,20.82,79,44,8.06,ZA,1678199345
263,riyadh,24.6877,46.7219,32.08,9,66,5.88,SA,1678198869
264,micheweni,-4.9667,39.8333,28.21,70,22,5.84,TZ,1678199348
265,hohhot,40.8106,111.6522,7.16,39,0,1.0,CN,1678199350
266,puerto madero,14.7208,-92.4215,25.11,100,100,0.0,MX,1678199351
267,ajdabiya,30.7554,20.2263,23.37,22,12,4.53,LY,1678199352
268,uarini,-2.99,-65.1083,26.54,81,100,1.33,BR,1678199353
269,cabo san lucas,22.8909,-109.9124,19.17,64,89,1.92,MX,1678199354
270,roald,62.5833,6.1333,1.06,74,40,3.6,NO,1678199355
271,cuamba,-14.8031,36.5372,27.18,77,76,1.45,MZ,1678199356
272,mahibadhoo,3.7833,72.9667,27.76,77,2,6.04,MV,1678199357
273,puerto carreno,6.189,-67.4859,29.99,58,0,5.14,CO,1678199359
274,kosonsoy,41.2561,71.5508,15.31,45,89,1.41,UZ,1678199360
275,muromtsevo,56.3724,75.2418,-6.92,97,100,2.72,RU,1678199361
276,neka,36.6508,53.299,9.73,93,100,3.09,IR,1678199083
277,galeana,24.8333,-100.0667,16.58,58,15,2.36,MX,1678199364
278,lompoc,34.6391,-120.4579,4.4,92,0,2.06,US,1678199365
279,helong,42.5397,128.9972,6.91,47,80,3.0,CN,1678199367
280,dhidhdhoo,6.8833,73.1,27.3,74,5,3.58,MV,1678199368
281,benguela,-12.5763,13.4055,27.12,65,86,3.88,AO,1678199370
282,tucurui,-3.7661,-49.6725,28.4,76,99,2.36,BR,1678199371
283,touros,-5.1989,-35.4608,30.17,62,99,7.58,BR,1678199372
284,vila franca do campo,37.7167,-25.4333,17.23,87,53,9.66,PT,1678199373
285,weligama,5.9667,80.4167,26.32,76,19,4.41,LK,1678199375
286,ulladulla,-35.35,150.4667,17.95,41,17,2.51,AU,1678199376
287,palmer,42.1584,-72.3287,3.25,42,40,6.17,US,1678199377
288,phaltan,17.9833,74.4333,21.66,61,78,7.5,IN,1678199378
289,sakaiminato,35.55,133.2333,7.99,76,20,1.54,JP,1678199379
290,lilongwe,-13.9669,33.7873,27.11,65,40,1.03,MW,1678199380
291,rio grande,-32.035,-52.0986,28.06,74,43,5.21,BR,1678199131
292,mersing,2.4312,103.8405,25.95,89,20,4.12,MY,1678199383
293,grand forks,47.9417,-97.4337,-19.56,71,100,4.63,US,1678199384
294,cockburn town,21.4612,-71.1419,24.2,64,0,2.87,TC,1678199385
295,camacha,33.0833,-16.3333,19.68,78,40,6.17,PT,1678199386
296,souillac,-20.5167,57.5167,26.41,81,29,4.82,MU,1678199387
297,candelaria,13.9311,121.4233,24.1,92,1,2.74,PH,1678199389
298,hofn,64.2539,-15.2082,-4.69,54,14,12.03,IS,1678199390
299,mustasaari,63.1142,21.6822,-5.0,91,100,3.6,FI,1678199391
300,privas,44.5833,4.5,10.29,55,100,2.2,FR,1678199392
301,poum,-20.2333,164.0167,26.94,75,29,9.57,NC,1678199394
302,inhambane,-23.865,35.3833,29.99,58,40,6.54,MZ,1678199395
303,isla mujeres,21.2311,-86.731,26.03,69,40,3.59,MX,1678199396
304,port-gentil,-0.7193,8.7815,30.98,66,20,6.69,GA,1678199397
305,henties bay,-22.116,14.2845,19.34,73,8,5.94,NA,1678199398
306,marsabit,2.3284,37.9899,28.5,28,18,6.64,KE,1678199399
307,kokkola,63.8385,23.1307,-4.42,65,20,2.57,FI,1678199401
308,ahipara,-35.1667,173.1667,15.92,89,11,1.47,NZ,1678199402
309,the valley,18.217,-63.0578,27.92,65,20,4.63,AI,1678199403
310,pakokku,21.3333,95.1,29.8,24,0,0.71,MM,1678199406
311,nishihara,26.1842,127.7558,17.6,68,75,3.09,JP,1678199407
312,sola,-13.8833,167.55,27.11,75,38,3.17,VU,1678199408
313,nizhniy tsasuchey,50.5167,115.1333,-5.97,57,46,1.7,RU,1678199409
314,eyl,7.9803,49.8164,25.6,73,14,7.5,SO,1678199411
